run	sample	sex	tissue	sizeBin
ARL0001_1	w1118_wfem1	female	whole	1-2 kb
ARL0001_2	w1118_wfem1	female	whole	2-3 kb
ARL0001_3	w1118_wfem1	female	whole	3-6 kb
ARL0002_1	w1118_wmal1	male	whole	1-2 kb
ARL0002_2	w1118_wmal1	male	whole	2-3 kb
ARL0002_3	w1118_wmal1	male	whole	3-6 kb
ARL0003_1	w1118_ovary1	female	ovary	1-2 kb
ARL0003_2	w1118_ovary1	female	ovary	2-3 kb
ARL0003_3	w1118_ovary1	female	ovary	3-6 kb
ARL0004_1	w1118_testi1	male	testis	1-2 kb
ARL0004_2	w1118_testi1	male	testis	2-3 kb
ARL0004_3	w1118_testi1	male	testis	3-6 kb
